player_id,max_hp,base_speed,radius,invincible_frames,geometry_size,color_hex,glow_intensity,hp_bar_low_threshold,sprite_url
default,200,2.6,12,30,20,#7BE8F4,2.0,0.5,
char_1,180,2.8,12,30,20,#FF4488,2.2,0.5,
char_2,220,2.5,12,30,20,#52FF88,1.9,0.5,
char_3,190,2.7,12,30,20,#FFE45C,2.1,0.5,
char_4,210,2.6,12,30,20,#CC55FF,2.0,0.5,
char_5,200,2.7,12,30,20,#FF8844,2.0,0.5,
char_6,240,2.4,12,30,20,#FF3333,1.8,0.5,
char_7,215,2.7,12,30,20,#FFD600,2.1,0.5,
char_8,200,2.6,12,30,20,#00FFCC,2.0,0.5,
char_9,230,2.5,12,30,20,#0066FF,1.9,0.5,
char_10,195,2.8,12,30,20,#CCFF00,2.2,0.5,
char_11,185,2.9,12,30,20,#FF6B6B,2.3,0.5,
char_12,200,2.7,12,30,20,#00FFFF,2.0,0.5,
char_13,205,2.6,12,30,20,#E6E6FA,2.0,0.5,
char_14,190,2.7,12,30,20,#FF00FF,2.1,0.5,
char_15,225,2.5,12,30,20,#50C878,1.9,0.5,
char_16,180,2.9,12,30,20,#FF007F,2.3,0.5,
char_17,210,2.6,12,30,20,#8F00FF,2.0,0.5,
char_18,200,2.7,12,30,20,#FF7F00,2.0,0.5,
char_19,190,2.8,12,30,20,#FFF700,2.2,0.5,
char_20,200,2.6,12,30,20,#00E5FF,2.0,0.5,
char_21,205,2.6,12,30,20,#B39DDB,2.0,0.5,
char_22,185,2.8,12,30,20,#E91E63,2.2,0.5,
char_23,220,2.5,12,30,20,#008080,1.9,0.5,
char_24,195,2.7,12,30,20,#FFB74D,2.1,0.5,
char_25,210,2.6,12,30,20,#FFFFFF,2.0,0.5,
char_26,190,2.8,12,30,20,#7FFF00,2.2,0.5,
char_27,200,2.6,12,30,20,#80DEEA,2.0,0.5,
char_28,215,2.5,12,30,20,#E0115F,1.9,0.5,
char_29,225,2.5,12,30,20,#0F52BA,1.9,0.5,
